Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Muscle            ,   1.1130e+1,   2.0242e-1,   2.5583e+7,   1.2779e+1,   2.0260e+3,   3.4867e+2,
Muscle            ,   1.1143e+1,   2.0243e-1,   2.5582e+7,   1.2765e+1,   2.0247e+3,   3.4848e+2,
Muscle            ,   1.1156e+1,   2.0244e-1,   2.5580e+7,   1.2752e+1,   2.0234e+3,   3.4828e+2,
Muscle            ,   1.1169e+1,   2.0244e-1,   2.5579e+7,   1.2738e+1,   2.0222e+3,   3.4809e+2,
Muscle            ,   1.1181e+1,   2.0245e-1,   2.5578e+7,   1.2724e+1,   2.0209e+3,   3.4790e+2,
Muscle            ,   1.1194e+1,   2.0245e-1,   2.5576e+7,   1.2711e+1,   2.0196e+3,   3.4771e+2,
Muscle            ,   1.1207e+1,   2.0246e-1,   2.5575e+7,   1.2697e+1,   2.0183e+3,   3.4752e+2,
Muscle            ,   1.1220e+1,   2.0246e-1,   2.5573e+7,   1.2684e+1,   2.0171e+3,   3.4733e+2,
Muscle            ,   1.1233e+1,   2.0247e-1,   2.5572e+7,   1.2670e+1,   2.0158e+3,   3.4714e+2,
Muscle            ,   1.1246e+1,   2.0247e-1,   2.5570e+7,   1.2656e+1,   2.0145e+3,   3.4695e+2,
Muscle            ,   1.1259e+1,   2.0248e-1,   2.5569e+7,   1.2643e+1,   2.0132e+3,   3.4676e+2,
Muscle            ,   1.1272e+1,   2.0249e-1,   2.5568e+7,   1.2629e+1,   2.0120e+3,   3.4657e+2,
Muscle            ,   1.1285e+1,   2.0249e-1,   2.5566e+7,   1.2616e+1,   2.0107e+3,   3.4638e+2,
Muscle            ,   1.1298e+1,   2.0250e-1,   2.5565e+7,   1.2602e+1,   2.0094e+3,   3.4619e+2,
Muscle            ,   1.1311e+1,   2.0250e-1,   2.5563e+7,   1.2589e+1,   2.0082e+3,   3.4600e+2,
Muscle            ,   1.1324e+1,   2.0251e-1,   2.5562e+7,   1.2576e+1,   2.0069e+3,   3.4582e+2,
Muscle            ,   1.1337e+1,   2.0251e-1,   2.5560e+7,   1.2562e+1,   2.0056e+3,   3.4563e+2,
Muscle            ,   1.1350e+1,   2.0252e-1,   2.5559e+7,   1.2549e+1,   2.0044e+3,   3.4544e+2,
Muscle            ,   1.1363e+1,   2.0252e-1,   2.5558e+7,   1.2535e+1,   2.0031e+3,   3.4525e+2,
Muscle            ,   1.1376e+1,   2.0253e-1,   2.5556e+7,   1.2522e+1,   2.0018e+3,   3.4506e+2,
Muscle            ,   1.1389e+1,   2.0254e-1,   2.5555e+7,   1.2509e+1,   2.0006e+3,   3.4487e+2,
Muscle            ,   1.1402e+1,   2.0254e-1,   2.5553e+7,   1.2495e+1,   1.9993e+3,   3.4468e+2,
Muscle            ,   1.1416e+1,   2.0255e-1,   2.5552e+7,   1.2482e+1,   1.9980e+3,   3.4449e+2,
Muscle            ,   1.1429e+1,   2.0255e-1,   2.5550e+7,   1.2469e+1,   1.9968e+3,   3.4430e+2,
Muscle            ,   1.1442e+1,   2.0256e-1,   2.5549e+7,   1.2456e+1,   1.9955e+3,   3.4412e+2,
Muscle            ,   1.1455e+1,   2.0256e-1,   2.5547e+7,   1.2442e+1,   1.9943e+3,   3.4393e+2,
Muscle            ,   1.1468e+1,   2.0257e-1,   2.5546e+7,   1.2429e+1,   1.9930e+3,   3.4374e+2,
Muscle            ,   1.1482e+1,   2.0258e-1,   2.5544e+7,   1.2416e+1,   1.9917e+3,   3.4355e+2,
Muscle            ,   1.1495e+1,   2.0258e-1,   2.5543e+7,   1.2403e+1,   1.9905e+3,   3.4336e+2,
Muscle            ,   1.1508e+1,   2.0259e-1,   2.5541e+7,   1.2389e+1,   1.9892e+3,   3.4318e+2,
Muscle            ,   1.1521e+1,   2.0259e-1,   2.5540e+7,   1.2376e+1,   1.9880e+3,   3.4299e+2,
Muscle            ,   1.1535e+1,   2.0260e-1,   2.5538e+7,   1.2363e+1,   1.9867e+3,   3.4280e+2,
Muscle            ,   1.1548e+1,   2.0261e-1,   2.5537e+7,   1.2350e+1,   1.9854e+3,   3.4261e+2,
Muscle            ,   1.1561e+1,   2.0261e-1,   2.5535e+7,   1.2337e+1,   1.9842e+3,   3.4243e+2,
