Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
Kidney            ,   1.2162e+1,   5.6296e-2,   2.7020e+7,   3.0794e+0,   3.2578e+3,   7.1353e+2,
Kidney            ,   1.2176e+1,   5.6309e-2,   2.7014e+7,   3.0773e+0,   3.2552e+3,   7.1311e+2,
Kidney            ,   1.2190e+1,   5.6322e-2,   2.7007e+7,   3.0753e+0,   3.2526e+3,   7.1269e+2,
Kidney            ,   1.2204e+1,   5.6335e-2,   2.7000e+7,   3.0732e+0,   3.2500e+3,   7.1227e+2,
Kidney            ,   1.2218e+1,   5.6348e-2,   2.6994e+7,   3.0711e+0,   3.2475e+3,   7.1185e+2,
Kidney            ,   1.2232e+1,   5.6361e-2,   2.6987e+7,   3.0691e+0,   3.2449e+3,   7.1144e+2,
Kidney            ,   1.2246e+1,   5.6374e-2,   2.6980e+7,   3.0670e+0,   3.2423e+3,   7.1102e+2,
Kidney            ,   1.2260e+1,   5.6387e-2,   2.6973e+7,   3.0649e+0,   3.2397e+3,   7.1060e+2,
Kidney            ,   1.2274e+1,   5.6400e-2,   2.6967e+7,   3.0629e+0,   3.2371e+3,   7.1018e+2,
Kidney            ,   1.2289e+1,   5.6413e-2,   2.6960e+7,   3.0608e+0,   3.2346e+3,   7.0976e+2,
Kidney            ,   1.2303e+1,   5.6426e-2,   2.6953e+7,   3.0588e+0,   3.2320e+3,   7.0935e+2,
Kidney            ,   1.2317e+1,   5.6439e-2,   2.6946e+7,   3.0568e+0,   3.2294e+3,   7.0893e+2,
Kidney            ,   1.2331e+1,   5.6453e-2,   2.6940e+7,   3.0547e+0,   3.2269e+3,   7.0851e+2,
Kidney            ,   1.2345e+1,   5.6466e-2,   2.6933e+7,   3.0527e+0,   3.2243e+3,   7.0809e+2,
Kidney            ,   1.2359e+1,   5.6479e-2,   2.6926e+7,   3.0507e+0,   3.2217e+3,   7.0768e+2,
Kidney            ,   1.2374e+1,   5.6492e-2,   2.6919e+7,   3.0487e+0,   3.2192e+3,   7.0726e+2,
Kidney            ,   1.2388e+1,   5.6506e-2,   2.6912e+7,   3.0466e+0,   3.2166e+3,   7.0684e+2,
Kidney            ,   1.2402e+1,   5.6519e-2,   2.6906e+7,   3.0446e+0,   3.2140e+3,   7.0642e+2,
Kidney            ,   1.2417e+1,   5.6532e-2,   2.6899e+7,   3.0426e+0,   3.2115e+3,   7.0601e+2,
Kidney            ,   1.2431e+1,   5.6546e-2,   2.6892e+7,   3.0406e+0,   3.2089e+3,   7.0559e+2,
Kidney            ,   1.2445e+1,   5.6559e-2,   2.6885e+7,   3.0386e+0,   3.2064e+3,   7.0517e+2,
Kidney            ,   1.2459e+1,   5.6573e-2,   2.6878e+7,   3.0366e+0,   3.2038e+3,   7.0476e+2,
Kidney            ,   1.2474e+1,   5.6586e-2,   2.6871e+7,   3.0346e+0,   3.2012e+3,   7.0434e+2,
Kidney            ,   1.2488e+1,   5.6599e-2,   2.6864e+7,   3.0326e+0,   3.1987e+3,   7.0392e+2,
Kidney            ,   1.2503e+1,   5.6613e-2,   2.6857e+7,   3.0306e+0,   3.1961e+3,   7.0351e+2,
Kidney            ,   1.2517e+1,   5.6627e-2,   2.6850e+7,   3.0287e+0,   3.1936e+3,   7.0309e+2,
Kidney            ,   1.2531e+1,   5.6640e-2,   2.6843e+7,   3.0267e+0,   3.1911e+3,   7.0267e+2,
Kidney            ,   1.2546e+1,   5.6654e-2,   2.6836e+7,   3.0247e+0,   3.1885e+3,   7.0226e+2,
Kidney            ,   1.2560e+1,   5.6667e-2,   2.6829e+7,   3.0227e+0,   3.1860e+3,   7.0184e+2,
Kidney            ,   1.2575e+1,   5.6681e-2,   2.6823e+7,   3.0208e+0,   3.1834e+3,   7.0142e+2,
Kidney            ,   1.2589e+1,   5.6694e-2,   2.6816e+7,   3.0188e+0,   3.1809e+3,   7.0101e+2,
Kidney            ,   1.2604e+1,   5.6708e-2,   2.6808e+7,   3.0168e+0,   3.1783e+3,   7.0059e+2,
Kidney            ,   1.2618e+1,   5.6722e-2,   2.6801e+7,   3.0149e+0,   3.1758e+3,   7.0017e+2,
Kidney            ,   1.2633e+1,   5.6735e-2,   2.6794e+7,   3.0129e+0,   3.1733e+3,   6.9976e+2,
Kidney            ,   1.2647e+1,   5.6749e-2,   2.6787e+7,   3.0110e+0,   3.1707e+3,   6.9934e+2,
Kidney            ,   1.2662e+1,   5.6763e-2,   2.6780e+7,   3.0091e+0,   3.1682e+3,   6.9893e+2,
Kidney            ,   1.2677e+1,   5.6777e-2,   2.6773e+7,   3.0071e+0,   3.1657e+3,   6.9851e+2,
Kidney            ,   1.2691e+1,   5.6791e-2,   2.6766e+7,   3.0052e+0,   3.1632e+3,   6.9809e+2,
Kidney            ,   1.2706e+1,   5.6804e-2,   2.6759e+7,   3.0033e+0,   3.1606e+3,   6.9768e+2,
Kidney            ,   1.2720e+1,   5.6818e-2,   2.6752e+7,   3.0013e+0,   3.1581e+3,   6.9726e+2,
Kidney            ,   1.2735e+1,   5.6832e-2,   2.6745e+7,   2.9994e+0,   3.1556e+3,   6.9685e+2,
Kidney            ,   1.2750e+1,   5.6846e-2,   2.6738e+7,   2.9975e+0,   3.1531e+3,   6.9643e+2,
Kidney            ,   1.2764e+1,   5.6860e-2,   2.6731e+7,   2.9956e+0,   3.1505e+3,   6.9601e+2,
Kidney            ,   1.2779e+1,   5.6874e-2,   2.6723e+7,   2.9937e+0,   3.1480e+3,   6.9560e+2,
Kidney            ,   1.2794e+1,   5.6888e-2,   2.6716e+7,   2.9918e+0,   3.1455e+3,   6.9518e+2,
Kidney            ,   1.2809e+1,   5.6902e-2,   2.6709e+7,   2.9899e+0,   3.1430e+3,   6.9477e+2,
Kidney            ,   1.2823e+1,   5.6916e-2,   2.6702e+7,   2.9880e+0,   3.1405e+3,   6.9435e+2,
Kidney            ,   1.2838e+1,   5.6930e-2,   2.6695e+7,   2.9861e+0,   3.1380e+3,   6.9394e+2,
Kidney            ,   1.2853e+1,   5.6944e-2,   2.6687e+7,   2.9842e+0,   3.1355e+3,   6.9352e+2,
Kidney            ,   1.2868e+1,   5.6958e-2,   2.6680e+7,   2.9823e+0,   3.1330e+3,   6.9311e+2,
Kidney            ,   1.2882e+1,   5.6972e-2,   2.6673e+7,   2.9804e+0,   3.1305e+3,   6.9269e+2,
